sale_id,date,region,tyre_type,tyre_size,units_sold,unit_price,total_sales,revenue,bill_date,price
S00023,2024-02-07,East,Radial,17,101.0,5130.0,518130.0,518130.0,2024-02-07,5130
S00024,2024-05-09,South,Biased,16,118.0,5389.0,635902.0,635902.0,2024-05-09,5389
S00025,2024-07-10,West,Radial,14,70.0,4211.0,294770.0,294770.0,2024-07-10,4211
S00026,2024-07-06,East,Biased,15,76.0,4114.0,312664.0,312664.0,2024-07-06,4114
S00027,2024-01-21,South,Radial,16,87.0,3692.0,321204.0,321204.0,2024-01-21,3692
S00028,2024-06-09,North,Biased,15,54.0,3880.0,209520.0,209520.0,2024-06-09,3880
S00030,2024-01-22,North,Radial,14,110.0,5282.0,581020.0,581020.0,2024-01-22,5282
S00031,2024-03-29,East,Radial,18,57.0,5126.0,443617.5,292182.0,2024-03-29,5126
S00032,2024-02-18,South,Radial,18,135.0,4568.0,616680.0,616680.0,2024-02-18,4568
S00033,2024-02-28,South,Biased,17,67.0,4438.0,297346.0,297346.0,2024-02-28,4438
S00034,2024-06-18,South,Radial,17,53.0,3520.24,200853.24,200073.52,2024-06-18,3502
S00035,2024-07-06,West,Radial,18,53.0,4429.0,234737.0,234737.0,2024-07-06,4429
S00036,2024-01-15,North,Biased,17,86.0,5371.0,461906.0,461906.0,2024-01-15,5371
S00037,2024-07-08,West,Biased,15,64.0,4972.0,318208.0,318208.0,2024-07-08,4972
S00039,2024-06-23,North,Radial,18,76.0,4658.0,354008.0,354008.0,2024-06-23,4658
S00040,2024-07-08,South,Radial,17,134.0,4814.0,645076.0,645076.0,2024-07-08,4814
S00041,2024-02-20,North,Biased,17,97.0,3777.0,366369.0,366369.0,2024-02-20,3777
S00043,2024-02-24,West,Radial,16,95.0,5451.0,517845.0,517845.0,2024-02-24,5451
S00044,2024-03-04,Wst,Biased,18,97.0,3781.0,366757.0,366757.0,2024-03-04,3781
S00045,2024-05-10,Unknown,Radial,15,108.0,4643.0,501444.0,501444.0,2024-05-10,4643
S00046,2024-02-20,South,Radial,14,53.0,5297.0,280741.0,280741.0,2024-02-20,5297
S00047,2024-05-14,East,Biased,14,124.0,4697.0,582428.0,582428.0,2024-05-14,4697
S00049,2024-03-13,West,Radial,15,106.0,3958.0,419548.0,419548.0,2024-03-13,3958
S00050,2024-06-15,East,Biased,15,68.0,5153.0,350404.0,350404.0,2024-06-15,5153
S00051,2024-01-18,West,Radial,15,140.0,4450.0,443617.5,623000.0,2024-01-18,4450
S00052,2024-05-11,South,Radial,16,91.0,3840.0,349440.0,349440.0,2024-05-11,3840
S00053,2024-03-29,North,Biased,18,141.0,4196.0,591636.0,591636.0,2024-03-29,4196
S00054,2024-02-29,North,Radial,14,54.0,5278.0,285012.0,285012.0,2024-02-29,5278
S00055,2024-01-14,West,Radial,15,97.0,4225.0,409825.0,409825.0,2024-01-14,4225
S00056,2024-01-09,East,Biased,18,74.0,3620.0,267880.0,267880.0,2024-01-09,3620
S00057,2024-03-30,South,Biased,14,116.0,4074.0,472584.0,472584.0,2024-03-30,4074
S00058,2024-02-22,North,Biased,16,75.0,5420.0,406500.0,406500.0,2024-02-22,5420
S00059,2024-05-09,South,Radial,17,123.0,5184.0,637632.0,637632.0,2024-05-09,5184
S00061,2024-04-01,West,Radial,14,111.0,3775.0,419025.0,419025.0,2024-04-01,3775
S00062,2024-04-20,North,Biased,14,142.0,4468.0,634456.0,634456.0,2024-04-20,4468
S00063,2024-07-06,Wst,Radial,17,56.0,4486.0,251216.0,251216.0,2024-07-06,4486
S00064,2024-07-17,East,Radial,15,93.0,3528.0,328104.0,328104.0,2024-07-17,3528
S00065,2024-06-20,West,Biased,17,136.0,5334.0,725424.0,725424.0,2024-06-20,5334
S00067,2024-06-23,West,Radial,16,91.0,4184.0,380744.0,380744.0,2024-06-23,4184
S00068,2024-02-04,South,Biased,14,122.0,4767.0,581574.0,581574.0,2024-02-04,4767
S00069,2024-03-21,South,Radial,16,105.0,3820.0,401100.0,401100.0,2024-03-21,3820
S00070,2024-06-12,North,Radial,18,52.0,4142.0,215384.0,215384.0,2024-06-12,4142
S00071,2024-02-19,North,Radial,16,62.0,3851.0,238762.0,238762.0,2024-02-19,3851
S00072,2024-04-13,North,Biased,14,119.0,4031.0,479689.0,479689.0,2024-04-13,4031
S00073,2024-05-11,West,Biased,17,108.0,4604.0,497232.0,497232.0,2024-05-11,4604
S00074,2024-01-02,South,Biased,14,87.0,4816.0,418992.0,418992.0,2024-01-02,4816
S00075,2024-05-13,East,Biased,14,134.0,3793.0,508262.0,508262.0,2024-05-13,3793
S00077,2024-04-15,West,Biased,15,138.0,3957.0,546066.0,546066.0,2024-04-15,3957
S00078,2024-01-04,West,Biased,14,117.0,4246.0,496782.0,496782.0,2024-01-04,4246
S00079,2024-02-23,East,Biased,18,135.0,5336.0,720360.0,720360.0,2024-02-23,5336
S00080,2024-07-09,North,Radial,17,118.0,4232.0,499376.0,499376.0,2024-07-09,4232
S00081,2024-05-25,East,Radial,18,51.0,5205.0,260250.0,260250.0,2024-05-25,5205
S00083,2024-06-10,East,Radial,16,130.0,4583.0,595790.0,595790.0,2024-06-10,4583
S00084,2024-07-08,South,Biased,15,122.0,5131.0,625982.0,625982.0,2024-07-08,5131
S00085,2024-01-14,Wst,Radial,15,58.0,5304.0,307632.0,307632.0,2024-01-14,5304
S00086,2024-04-04,West,Radial,17,102.0,4042.0,412284.0,412284.0,2024-04-04,4042
S00087,2024-02-17,West,Radial,18,137.0,3879.0,531423.0,531423.0,2024-02-17,3879
S00088,2024-01-15,North,Radial,17,59.0,3823.0,225557.0,225557.0,2024-01-15,3823
S00089,2024-07-18,East,Radial,17,133.0,5151.0,685083.0,685083.0,2024-07-18,5151
S00092,2024-03-22,West,Radial,15,78.0,4669.0,364182.0,364182.0,2024-03-22,4669
S00094,2024-02-22,South,Radial,18,136.0,3861.0,525096.0,525096.0,2024-02-22,3861
S00095,2024-01-24,West,Radial,17,76.0,3552.0,269952.0,269952.0,2024-01-24,3552
S00096,2024-06-02,East,Biased,18,67.0,3901.0,261367.0,261367.0,2024-06-02,3901
S00097,2024-07-06,West,Radial,17,67.0,5086.0,340762.0,340762.0,2024-07-06,5086
S00098,2024-05-03,East,Biased,17,58.0,4180.0,242440.0,242440.0,2024-05-03,4180
S00099,2024-02-10,South,Radial,17,116.0,5392.0,625472.0,625472.0,2024-02-10,5392
S00100,2024-06-05,South,Biased,17,56.0,4492.0,251552.0,251552.0,2024-06-05,4492
S00101,2024-01-15,West,Biased,16,107.0,4368.0,467376.0,467376.0,2024-01-15,4368
S00102,2024-02-14,South,Biased,16,128.0,4206.0,538368.0,538368.0,2024-02-14,4206
S00103,2024-03-05,North,Radial,14,79.0,4972.0,392788.0,392788.0,2024-03-05,4972
S00104,2024-03-29,Unknown,Radial,15,122.0,4606.0,561932.0,561932.0,2024-03-29,4606
S00105,2024-03-11,North,Biased,17,110.0,3878.0,426580.0,426580.0,2024-03-11,3878
S00106,2024-01-09,South,Radial,18,140.0,4145.0,580300.0,580300.0,2024-01-09,4145
S00107,2024-03-28,Unknown,Radial,16,148.0,4981.0,742169.0,742169.0,2024-03-28,4981
S00108,2024-05-08,West,Biased,15,131.0,4432.0,580592.0,580592.0,2024-05-08,4432
S00110,2024-03-03,West,Biased,15,66.0,3580.0,236280.0,236280.0,2024-03-03,3580
S00111,2024-05-18,South,Radial,17,102.0,4230.0,431460.0,431460.0,2024-05-18,4230
S00113,2024-05-15,West,Biased,17,88.0,4832.0,425216.0,425216.0,2024-05-15,4832
S00114,2024-06-11,South,Biased,16,74.0,4420.0,327080.0,327080.0,2024-06-11,4420
S00115,2024-06-11,East,Biased,16,91.0,4262.0,387842.0,387842.0,2024-06-11,4262
S00116,2024-02-02,East,Biased,17,91.0,3993.0,363363.0,363363.0,2024-02-02,3993
S00117,2024-05-02,South,Radial,18,108.0,4759.0,513972.0,513972.0,2024-05-02,4759
S00118,2024-01-05,West,Radial,16,87.0,5191.0,451617.0,451617.0,2024-01-05,5191
S00119,2024-02-10,North,Radial,18,80.0,4440.0,355200.0,355200.0,2024-02-10,4440
S00120,2024-01-28,West,Biased,17,78.0,4560.0,355680.0,355680.0,2024-01-28,4560
S00121,2024-05-14,Nort,Radial,17,58.0,4240.0,245920.0,245920.0,2024-05-14,4240
S00122,2024-03-12,West,Radial,16,51.0,5180.0,259000.0,259000.0,2024-03-12,5180
S00123,2024-01-12,South,Radial,18,129.0,3824.0,493296.0,493296.0,2024-01-12,3824
S00124,2024-06-10,East,Biased,17,136.0,4579.0,622744.0,622744.0,2024-06-10,4579
S00125,2024-02-02,West,Biased,16,121.0,4644.0,561924.0,561924.0,2024-02-02,4644
S00126,2024-02-17,North,Radial,17,96.0,3813.0,366048.0,366048.0,2024-02-17,3813
S00127,2024-05-30,East,Radial,15,125.0,4734.0,591750.0,591750.0,2024-05-30,4734
S00128,2024-03-02,North,Biased,15,59.0,5295.0,312405.0,312405.0,2024-03-02,5295
S00129,2024-02-06,South,Biased,16,65.0,3602.0,234130.0,234130.0,2024-02-06,3602
S00130,2024-04-08,East,Biased,17,96.0,3938.0,443617.5,378048.0,2024-04-08,3938
S00131,2024-06-20,North,Biased,16,92.0,4316.0,397072.0,397072.0,2024-06-20,4316
S00132,2024-04-13,West,Radial,14,73.0,4246.0,309958.0,309958.0,2024-04-13,4246
S00133,2024-02-04,South,Biased,16,57.0,3537.0,201609.0,201609.0,2024-02-04,3537
S00135,2024-04-10,South,Biased,15,75.0,5143.0,385725.0,385725.0,2024-04-10,5143
S00136,2024-06-23,West,Radial,15,56.0,4937.0,276472.0,276472.0,2024-06-23,4937
S00137,2024-05-10,West,Radial,17,128.0,4747.0,443617.5,607616.0,2024-05-10,4747
S00138,2024-01-01,East,Biased,16,64.0,4516.0,289024.0,289024.0,2024-01-01,4516
S00139,2024-01-05,West,Radial,16,97.0,4816.0,467152.0,467152.0,2024-01-05,4816
S00140,2024-05-21,East,Radial,17,52.0,5219.0,271388.0,271388.0,2024-05-21,5219
S00141,2024-04-12,South,Radial,18,65.0,3654.0,237510.0,237510.0,2024-04-12,3654
S00142,2024-01-27,East,Biased,17,128.0,4555.0,583040.0,583040.0,2024-01-27,4555
S00143,2024-05-16,North,Biased,15,138.0,4757.0,656466.0,656466.0,2024-05-16,4757
S00144,2024-01-15,South,Biased,15,146.0,5430.0,762528.6400000001,762767.88,2024-01-15,5430
S00145,2024-03-30,South,Radial,16,63.0,3988.0,251244.0,251244.0,2024-03-30,3988
S00146,2024-02-11,East,Radial,15,137.0,5285.0,724045.0,724045.0,2024-02-11,5285
S00147,2024-05-03,South,Radial,17,124.0,5093.0,631532.0,631532.0,2024-05-03,5093
S00148,2024-06-27,West,Radial,16,52.0,4856.0,252512.0,252512.0,2024-06-27,4856
S00149,2024-03-03,North,Biased,17,122.0,5198.0,634156.0,634156.0,2024-03-03,5198
S00150,2024-04-05,East,Radial,17,119.0,4540.0,540260.0,540260.0,2024-04-05,4540
S00151,2024-02-21,East,Radial,16,80.0,4937.0,394960.0,394960.0,2024-02-21,4937
S00154,2024-05-30,South,Radial,14,66.0,5264.0,347424.0,347424.0,2024-05-30,5264
S00155,2024-05-22,South,Biased,14,98.0,3739.0,366422.0,366422.0,2024-05-22,3739
S00156,2024-06-19,East,Biased,14,52.0,4809.0,250068.0,250068.0,2024-06-19,4809
S00157,2024-01-29,South,Radial,15,132.0,3845.0,507540.0,507540.0,2024-01-29,3845
S00158,2024-02-05,North,Radial,18,137.0,4898.0,671026.0,671026.0,2024-02-05,4898
S00159,2024-01-13,South,Radial,17,104.0,3520.24,365560.0,365560.0,2024-01-13,3515
S00160,2024-06-08,South,Radial,16,121.0,4086.0,494406.0,494406.0,2024-06-08,4086
S00161,2024-03-11,East,Biased,18,148.0,4449.0,662901.0,662901.0,2024-03-11,4449
S00162,2024-07-05,South,Biased,14,89.0,3759.0,334551.0,334551.0,2024-07-05,3759
S00163,2024-03-26,West,Biased,15,115.0,5418.0,623070.0,623070.0,2024-03-26,5418
S00164,2024-01-28,East,Biased,15,136.0,3860.0,524960.0,524960.0,2024-01-28,3860
S00165,2024-03-06,South,Biased,16,89.0,4922.0,438058.0,438058.0,2024-03-06,4922
S00166,2024-06-18,North,Biased,17,79.0,3959.0,312761.0,312761.0,2024-06-18,3959
S00167,2024-02-14,North,Biased,18,74.0,5446.0,403004.0,403004.0,2024-02-14,5446
S00168,2024-03-02,Eest,Biased,18,56.0,5039.0,282184.0,282184.0,2024-03-02,5039
S00169,2024-07-03,East,Biased,18,141.0,4430.0,624630.0,624630.0,2024-07-03,4430
S00170,2024-05-13,South,Biased,17,99.0,5286.0,523314.0,523314.0,2024-05-13,5286
S00171,2024-01-28,West,Radial,17,130.0,4608.0,599040.0,599040.0,2024-01-28,4608
S00172,2024-01-28,South,Radial,17,145.0,4586.0,664970.0,664970.0,2024-01-28,4586
S00174,2024-02-13,West,Biased,15,140.0,5357.0,749980.0,749980.0,2024-02-13,5357
S00175,2024-03-24,West,Radial,14,93.0,4254.0,395622.0,395622.0,2024-03-24,4254
S00176,2024-01-30,West,Biased,17,148.0,3794.0,565306.0,565306.0,2024-01-30,3794
S00177,2024-07-08,South,Biased,15,98.0,5447.0,443617.5,533806.0,2024-07-08,5447
S00178,2024-03-15,North,Radial,17,56.0,4685.0,262360.0,262360.0,2024-03-15,4685
S00179,2024-05-07,East,Biased,14,52.0,4428.0,230256.0,230256.0,2024-05-07,4428
S00180,2024-04-01,South,Radial,17,143.0,4701.0,672243.0,672243.0,2024-04-01,4701
S00183,2024-04-30,West,Radial,14,147.0,4851.0,713097.0,713097.0,2024-04-30,4851
S00184,2024-01-27,South,Radial,15,87.0,4263.0,370881.0,370881.0,2024-01-27,4263
S00185,2024-07-08,North,Radial,18,92.0,4565.0,419980.0,419980.0,2024-07-08,4565
S00186,2024-04-30,West,Radial,18,104.0,3741.0,389064.0,389064.0,2024-04-30,3741
S00188,2024-01-03,East,Radial,16,102.0,4614.0,470628.0,470628.0,2024-01-03,4614
S00189,2024-04-12,South,Biased,17,148.0,4551.0,678099.0,678099.0,2024-04-12,4551
S00190,2024-07-16,Unknown,Biased,17,82.0,3958.0,324556.0,324556.0,2024-07-16,3958
S00191,2024-07-18,North,Biased,17,129.0,4166.0,537414.0,537414.0,2024-07-18,4166
S00192,2024-06-03,West,Biased,16,111.0,5154.0,572094.0,572094.0,2024-06-03,5154
S00193,2024-05-16,East,Radial,18,60.0,4908.0,294480.0,294480.0,2024-05-16,4908
S00194,2024-03-02,East,Biased,17,121.0,5010.0,606210.0,606210.0,2024-03-02,5010
S00195,2024-06-13,West,Biased,16,101.0,3719.0,375619.0,375619.0,2024-06-13,3719
S00197,2024-06-20,East,Biased,15,63.0,3763.0,237069.0,237069.0,2024-06-20,3763
S00198,2024-05-31,South,Radial,17,143.0,3620.0,517660.0,517660.0,2024-05-31,3620
S00199,2024-02-28,South,Radial,18,134.0,4569.0,612246.0,612246.0,2024-02-28,4569
S00200,2024-04-27,East,Radial,14,70.0,4803.0,336210.0,336210.0,2024-04-27,4803
S00201,2024-06-08,Unknown,Biased,16,83.0,4638.0,384954.0,384954.0,2024-06-08,4638
S00202,2024-04-05,South,Radial,15,139.0,4691.0,652049.0,652049.0,2024-04-05,4691
S00203,2024-06-28,East,Biased,14,63.0,3934.0,247842.0,247842.0,2024-06-28,3934
S00204,2024-04-22,South,Biased,16,89.0,4769.0,424441.0,424441.0,2024-04-22,4769
S00205,2024-03-02,West,Biased,15,84.0,3983.0,334572.0,334572.0,2024-03-02,3983
S00206,2024-07-04,North,Radial,17,91.0,4898.0,445718.0,445718.0,2024-07-04,4898
S00208,2024-01-12,West,Radial,16,69.0,5269.0,363561.0,363561.0,2024-01-12,5269
S00209,2024-02-08,West,Biased,17,109.0,4545.0,495405.0,495405.0,2024-02-08,4545
S00210,2024-05-09,South,Biased,18,58.0,4213.0,244354.0,244354.0,2024-05-09,4213
S00211,2024-05-10,West,Radial,15,82.0,3567.0,292494.0,292494.0,2024-05-10,3567
S00212,2024-04-22,North,Biased,14,98.0,5171.0,506758.0,506758.0,2024-04-22,5171
S00213,2024-04-10,West,Radial,17,117.0,4242.0,496314.0,496314.0,2024-04-10,4242
S00214,2024-04-22,East,Radial,17,53.0,4581.0,242793.0,242793.0,2024-04-22,4581
S00215,2024-07-02,East,Biased,18,97.0,5050.0,489850.0,489850.0,2024-07-02,5050
S00216,2024-03-21,South,Biased,15,65.0,4787.0,311155.0,311155.0,2024-03-21,4787
S00217,2024-07-05,North,Radial,14,96.0,5205.0,499680.0,499680.0,2024-07-05,5205
S00218,2024-04-22,East,Biased,18,75.0,4946.0,370950.0,370950.0,2024-04-22,4946
S00219,2024-01-02,West,Radial,15,119.0,4521.0,537999.0,537999.0,2024-01-02,4521
S00220,2024-05-09,East,Radial,14,86.0,5022.0,431892.0,431892.0,2024-05-09,5022
S00221,2024-02-23,East,Biased,14,71.0,3790.0,269090.0,269090.0,2024-02-23,3790
S00222,2024-03-27,South,Radial,16,56.0,3668.0,205408.0,205408.0,2024-03-27,3668
S00223,2024-05-08,West,Biased,14,91.0,5083.0,462553.0,462553.0,2024-05-08,5083
S00224,2024-05-26,West,Radial,15,79.0,4985.0,393815.0,393815.0,2024-05-26,4985
S00225,2024-05-05,West,Biased,18,123.0,5131.0,631113.0,631113.0,2024-05-05,5131
S00227,2024-02-22,West,Radial,16,55.0,4055.0,223025.0,223025.0,2024-02-22,4055
S00228,2024-06-20,West,Biased,15,73.0,3852.0,281196.0,281196.0,2024-06-20,3852
S00229,2024-06-08,East,Biased,14,115.0,4763.0,547745.0,547745.0,2024-06-08,4763
S00230,2024-07-16,East,Radial,16,89.0,5326.0,474014.0,474014.0,2024-07-16,5326
S00231,2024-06-08,West,Biased,17,64.0,3782.0,242048.0,242048.0,2024-06-08,3782
S00232,2024-03-08,North,Radial,15,102.0,4972.0,507144.0,507144.0,2024-03-08,4972
S00233,2024-07-01,North,Biased,16,134.0,5105.0,684070.0,684070.0,2024-07-01,5105
S00235,2024-05-02,North,Radial,16,54.0,4589.0,247806.0,247806.0,2024-05-02,4589
S00236,2024-05-24,South,Radial,17,138.0,4850.0,669300.0,669300.0,2024-05-24,4850
S00237,2024-02-07,East,Radial,15,85.0,3955.0,336175.0,336175.0,2024-02-07,3955
S00238,2024-01-24,South,Biased,16,123.0,4458.0,548334.0,548334.0,2024-01-24,4458
S00240,2024-04-25,North,Biased,15,72.0,3976.0,286272.0,286272.0,2024-04-25,3976
S00241,2024-04-07,Nort,Radial,16,137.0,5371.0,735827.0,735827.0,2024-04-07,5371
S00242,2024-07-16,West,Biased,16,94.0,3784.0,355696.0,355696.0,2024-07-16,3784
S00243,2024-05-18,North,Radial,15,59.0,3530.0,208270.0,208270.0,2024-05-18,3530
S00244,2024-05-23,North,Biased,18,103.0,3947.0,406541.0,406541.0,2024-05-23,3947
S00245,2024-04-06,West,Biased,14,119.0,3713.0,441847.0,441847.0,2024-04-06,3713
S00246,2024-05-03,West,Radial,15,126.0,5216.0,657216.0,657216.0,2024-05-03,5216
S00247,2024-07-05,East,Radial,14,134.0,5237.0,701758.0,701758.0,2024-07-05,5237
S00248,2024-03-10,North,Radial,14,81.0,5103.0,413343.0,413343.0,2024-03-10,5103
S00249,2024-04-02,East,Biased,15,92.0,4548.0,418416.0,418416.0,2024-04-02,4548
S00250,2024-01-03,East,Biased,16,64.0,5283.0,338112.0,338112.0,2024-01-03,5283
S00251,2024-05-27,South,Biased,18,115.0,4896.0,563040.0,563040.0,2024-05-27,4896
S00252,2024-07-05,North,Biased,14,64.0,3896.0,249344.0,249344.0,2024-07-05,3896
S00253,2024-06-12,Nort,Radial,14,130.0,3836.0,498680.0,498680.0,2024-06-12,3836
S00256,2024-07-13,North,Radial,18,55.0,4354.0,239470.0,239470.0,2024-07-13,4354
S00258,2024-05-27,South,Biased,14,66.0,4171.0,275286.0,275286.0,2024-05-27,4171
S00259,2024-04-05,West,Radial,15,75.0,4803.0,360225.0,360225.0,2024-04-05,4803
S00260,2024-07-17,East,Biased,16,71.0,4268.0,303028.0,303028.0,2024-07-17,4268
S00261,2024-02-21,North,Radial,17,122.0,4122.0,502884.0,502884.0,2024-02-21,4122
S00263,2024-06-16,East,Biased,14,125.0,5214.0,443617.5,651750.0,2024-06-16,5214
S00264,2024-05-07,East,Biased,14,135.0,4047.0,546345.0,546345.0,2024-05-07,4047
S00265,2024-02-08,Wst,Biased,18,107.0,4422.0,473154.0,473154.0,2024-02-08,4422
S00266,2024-03-22,West,Biased,16,136.0,4721.0,642056.0,642056.0,2024-03-22,4721
S00267,2024-04-13,West,Biased,17,86.0,4053.0,348558.0,348558.0,2024-04-13,4053
S00268,2024-05-08,North,Radial,18,127.0,3978.0,505206.0,505206.0,2024-05-08,3978
S00269,2024-01-11,North,Biased,17,137.0,4343.0,594991.0,594991.0,2024-01-11,4343
S00270,2024-07-03,East,Radial,18,121.0,5125.0,620125.0,620125.0,2024-07-03,5125
S00271,2024-06-26,East,Radial,16,139.0,5380.0,747820.0,747820.0,2024-06-26,5380
S00272,2024-05-30,South,Radial,14,145.0,5103.0,739935.0,739935.0,2024-05-30,5103
S00273,2024-06-07,Nort,Radial,17,77.0,3569.0,274813.0,274813.0,2024-06-07,3569
S00276,2024-01-07,West,Biased,16,98.0,4905.0,480690.0,480690.0,2024-01-07,4905
S00277,2024-05-23,North,Biased,18,122.0,3896.0,475312.0,475312.0,2024-05-23,3896
S00280,2024-02-29,East,Radial,14,125.0,5057.0,632125.0,632125.0,2024-02-29,5057
S00282,2024-01-02,East,Biased,15,116.0,4494.0,521304.0,521304.0,2024-01-02,4494
S00283,2024-05-08,North,Biased,14,90.0,4288.0,385920.0,385920.0,2024-05-08,4288
S00284,2024-02-17,West,Biased,16,95.0,5434.0,516230.0,516230.0,2024-02-17,5434
S00285,2024-05-19,South,Radial,16,136.0,5230.0,711280.0,711280.0,2024-05-19,5230
S00286,2024-07-15,North,Radial,15,136.0,3920.0,533120.0,533120.0,2024-07-15,3920
S00287,2024-02-06,East,Radial,16,104.0,5080.0,528320.0,528320.0,2024-02-06,5080
S00288,2024-06-08,South,Biased,14,131.0,4421.0,579151.0,579151.0,2024-06-08,4421
S00289,2024-01-09,East,Radial,14,60.0,3610.0,216600.0,216600.0,2024-01-09,3610
S00291,2024-05-26,Nort,Radial,17,75.0,5265.0,394875.0,394875.0,2024-05-26,5265
S00293,2024-05-10,South,Biased,15,141.0,4701.0,662841.0,662841.0,2024-05-10,4701
S00294,2024-05-27,Unknown,Biased,14,131.0,4430.0,580330.0,580330.0,2024-05-27,4430
S00295,2024-05-31,West,Radial,14,62.0,5285.0,327670.0,327670.0,2024-05-31,5285
S00296,2024-02-23,East,Radial,14,85.0,3924.0,333540.0,333540.0,2024-02-23,3924
S00297,2024-04-29,North,Biased,17,113.0,3827.0,432451.0,432451.0,2024-04-29,3827
S00299,2024-05-31,North,Radial,16,125.0,3520.24,438750.0,438750.0,2024-05-31,3510
S00300,2024-04-25,West,Biased,15,71.0,4775.0,339025.0,339025.0,2024-04-25,4775
S00301,2024-03-15,East,Biased,17,109.0,4355.0,474695.0,474695.0,2024-03-15,4355
S00302,2024-04-22,North,Radial,18,51.0,4758.0,242658.0,242658.0,2024-04-22,4758
S00303,2024-07-18,North,Biased,17,105.0,5171.0,542955.0,542955.0,2024-07-18,5171
S00304,2024-06-12,North,Biased,14,89.0,3753.0,334017.0,334017.0,2024-06-12,3753
S00305,2024-06-14,Nort,Biased,15,77.0,5089.0,391853.0,391853.0,2024-06-14,5089
S00306,2024-04-13,West,Biased,16,126.0,5001.0,630126.0,630126.0,2024-04-13,5001
S00307,2024-03-24,West,Radial,17,146.0,3628.0,529688.0,529688.0,2024-03-24,3628
S00308,2024-04-21,East,Biased,14,52.0,5261.0,273572.0,273572.0,2024-04-21,5261
S00310,2024-06-01,South,Radial,18,147.0,3599.0,529053.0,529053.0,2024-06-01,3599
S00311,2024-04-02,West,Biased,16,72.0,3789.0,272808.0,272808.0,2024-04-02,3789
S00312,2024-05-25,North,Radial,16,104.0,5092.0,529568.0,529568.0,2024-05-25,5092
S00313,2024-05-07,North,Radial,17,81.0,4749.0,384669.0,384669.0,2024-05-07,4749
S00314,2024-04-19,South,Biased,16,133.0,5176.0,688408.0,688408.0,2024-04-19,5176
S00315,2024-03-22,North,Biased,14,77.0,4648.0,357896.0,357896.0,2024-03-22,4648
S00316,2024-07-12,Unknown,Biased,14,57.0,4961.0,282777.0,282777.0,2024-07-12,4961
S00317,2024-02-23,East,Biased,14,52.0,5344.0,277888.0,277888.0,2024-02-23,5344
S00318,2024-06-11,West,Biased,17,143.0,5087.0,727441.0,727441.0,2024-06-11,5087
S00319,2024-07-07,South,Radial,17,138.0,4145.0,572010.0,572010.0,2024-07-07,4145
S00320,2024-06-17,North,Biased,16,102.0,5327.0,543354.0,543354.0,2024-06-17,5327
S00321,2024-06-09,South,Radial,17,143.0,4164.0,595452.0,595452.0,2024-06-09,4164
S00322,2024-03-08,East,Biased,14,78.0,4870.0,379860.0,379860.0,2024-03-08,4870
S00324,2024-05-21,East,Biased,14,147.0,5274.0,762528.6400000001,762767.88,2024-05-21,5274
S00325,2024-01-21,East,Biased,15,138.0,3682.0,508116.0,508116.0,2024-01-21,3682
S00326,2024-02-17,South,Biased,16,130.0,3850.0,500500.0,500500.0,2024-02-17,3850
S00327,2024-05-27,East,Biased,18,108.0,5038.0,544104.0,544104.0,2024-05-27,5038
S00328,2024-05-07,North,Biased,17,73.0,5319.0,388287.0,388287.0,2024-05-07,5319
