Sale_ID,Date,Region,Tyre_Type,Tyre_Size,Units_Sold,Unit_Price,Total_Sales
S00035,2024-07-06,West,Radial,18,53.0,4429,234737.0
S00036,2024-01-15,North,Biased,17,86.0,5371,461906.0
S00037,2024-07-08,West,Biased,15,64.0,4972,318208.0
S00038,08/07/2024,East,Radial,17,87.0,5099,443613.0
S00039,2024-06-23,North,RADIAL,18,76.0,4658,354008.0
S00040,2024-07-08,South,Radial,17,134.0,4814,645076.0
S00041,2024-02-20,North,Biased,17,97.0,3777,366369.0
S00042,17/04/2024,South,Biased,16,95.0,3675,349125.0
S00043,2024-02-24,West,Radial,16,95.0,5451,517845.0
S00044,2024-03-04,Wst,Biased,18,97.0,3781,366757.0
S00045,2024-05-10,,Radial,15,108.0,4643,501444.0
S00046,2024-02-20,South,Radial,14,53.0,5297,280741.0
S00047,2024-05-14,East,Biased,14,124.0,4697,582428.0
S00048,2024-01-21,West,Radial,18,not available,4962,337416.0
S00049,2024-03-13,West,Radial,15,106.0,3958,419548.0
S00050,2024-06-15,East,Biased,15,68.0,5153,350404.0
S00051,2024-01-18,West,Radial,15,140.0,4450,
S00052,2024-05-11,South,Radial,16,91.0,3840,349440.0
S00053,2024-03-29,North,Biased,18,141.0,4196,591636.0
S00054,2024-02-29,North,Radial,14,54.0,5278,285012.0
S00055,2024-01-14,West,Radial,15,97.0,4225,409825.0
S00056,2024-01-09,East,Biased,18,74.0,3620,267880.0
S00057,2024-03-30,South,Biased,14,116.0,4074,472584.0
S00058,2024-02-22,North,Biased,16,75.0,5420,406500.0
S00059,2024-05-09,South,Radial,17,123.0,5184,637632.0
S00060,24/03/2024,West,Biased,14,137.0,5016,687192.0
S00061,2024-04-01,West,Radial,14,111.0,3775,419025.0
S00062,2024-04-20,North,Biased,14,142.0,4468,634456.0
S00063,2024-07-06,Wst,Radial,17,56.0,4486,251216.0
S00064,2024-07-17,East,Radial,15,93.0,3528,328104.0
S00065,2024-06-20,West,Biased,17,136.0,5334,725424.0
S00066,08/01/2024,West,Radial,14,76.0,5260,399760.0
S00067,2024-06-23,West,Radial,16,91.0,4184,380744.0
S00068,2024-02-04,South,Biased,14,122.0,4767,581574.0
S00069,2024-03-21,South,Radial,16,105.0,3820,401100.0
S00070,2024-06-12,North,Radial,18,52.0,4142,215384.0
S00071,2024-02-19,North,Radial,16,62.0,3851,238762.0
S00072,2024-04-13,North,Biased,14,119.0,4031,479689.0
S00073,2024-05-11,West,Biased,17,108.0,4604,497232.0
S00074,2024-01-02,South,BIASED,14,87.0,4816,418992.0
S00075,2024-05-13,East,Biased,14,134.0,3793,508262.0
S00076,2024-02-23,West,Biased,18,,5020,662640.0
S00077,2024-04-15,West,Biased,15,138.0,3957,546066.0
S00078,2024-01-04,West,Biased,14,117.0,4246,496782.0
S00079,2024-02-23,East,Biased,18,135.0,5336,720360.0
S00080,2024-07-09,North,Radial,17,118.0,4232,499376.0
S00081,2024-05-25,East,Radial,18,50.0,5205,260250.0
S00082,2024-02-13,North,Radial,18,not available,5081,503019.0
S00083,2024-06-10,East,Radial,16,130.0,4583,595790.0
S00084,2024-07-08,South,Biased,15,122.0,5131,625982.0
S00085,2024-01-14,Wst,Radial,15,58.0,5304,307632.0
S00086,2024-04-04,West,Radial,17,102.0,4042,412284.0
S00087,2024-02-17,West,Radial,18,137.0,3879,531423.0
S00088,2024-01-15,North,Radial,17,59.0,3823,225557.0
S00089,2024-07-18,East,Radial,17,133.0,5151,685083.0
S00090,2024-07-08,South,Biased,15,not available,4585,596050.0
S00091,2024-02-09,East,Biased,15,,4444,
S00092,2024-03-22,West,Radial,15,78.0,4669,364182.0
S00093,2024-04-20,South,Radial,14,not available,4342,369070.0
S00094,2024-02-22,South,Radial,18,136.0,3861,525096.0
S00095,2024-01-24,West,Radial,17,76.0,3552,269952.0
S00096,2024-06-02,East,Biased,18,67.0,3901,261367.0
S00097,2024-07-06,West,RADIAL,17,67.0,5086,340762.0
S00098,2024-05-03,East,Biased,17,58.0,4180,242440.0
S00099,2024-02-10,South,Radial,17,116.0,5392,625472.0
S00100,2024-06-05,South,Biased,17,56.0,4492,251552.0
S00101,2024-01-15,West,Biased,16,107.0,4368,467376.0
S00102,2024-02-14,South,Biased,16,128.0,4206,538368.0
S00103,2024-03-05,North,Radial,14,79.0,4972,392788.0
S00104,2024-03-29,,Radial,15,122.0,4606,561932.0
S00105,2024-03-11,North,Biased,17,110.0,3878,426580.0
S00106,2024-01-09,South,Radial,18,140.0,4145,580300.0
S00107,2024-03-28,,Radial,16,149.0,4981,742169.0
S00108,2024-05-08,West,Biased,15,131.0,4432,580592.0
S00109,2024-05-15,North,Radial,14,,5303,763632.0
S00110,2024-03-03,West,Biased,15,66.0,3580,236280.0
S00111,2024-05-18,South,Radial,17,102.0,4230,431460.0
S00112,2024-03-21,South,Radial,15,not available,4013,220715.0
S00113,2024-05-15,West,Biased,17,88.0,4832,425216.0
S00114,2024-06-11,South,Biased,16,74.0,4420,327080.0
S00115,2024-06-11,East,Biased,16,91.0,4262,387842.0
S00116,2024-02-02,East,Biased,17,91.0,3993,363363.0
S00117,2024-05-02,South,Radial,18,108.0,4759,513972.0
S00118,2024-01-05,West,Radial,16,87.0,5191,451617.0
S00119,2024-02-10,North,Radial,18,80.0,4440,355200.0
S00120,2024-01-28,West,Biased,17,78.0,4560,355680.0
S00121,2024-05-14,Nort,Radial,17,58.0,4240,245920.0
S00122,2024-03-12,West,Radial,16,50.0,5180,259000.0
S00123,2024-01-12,South,Radial,18,129.0,3824,493296.0
S00124,2024-06-10,East,BIASED,17,136.0,4579,622744.0
S00125,2024-02-02,West,Biased,16,121.0,4644,561924.0
S00126,2024-02-17,North,Radial,17,96.0,3813,366048.0
S00127,2024-05-30,East,Radial,15,125.0,4734,591750.0
S00128,2024-03-02,North,Biased,15,59.0,5295,312405.0
S00129,2024-02-06,South,Biased,16,65.0,3602,234130.0
S00130,2024-04-08,East,Biased,17,96.0,3938,
S00131,2024-06-20,North,Biased,16,92.0,4316,397072.0
S00132,2024-04-13,West,Radial,14,73.0,4246,309958.0
S00133,2024-02-04,South,Biased,16,57.0,3537,201609.0
S00134,11/07/2024,South,Radial,16,124.0,4312,534688.0
S00135,2024-04-10,South,Biased,15,75.0,5143,385725.0
S00136,2024-06-23,West,Radial,15,56.0,4937,276472.0
S00137,2024-05-10,West,Radial,17,128.0,4747,
S00138,2024-01-01,East,Biased,16,64.0,4516,289024.0
S00139,2024-01-05,West,Radial,16,97.0,4816,467152.0
S00140,2024-05-21,East,Radial,17,52.0,5219,271388.0
S00141,2024-04-12,South,Radial,18,65.0,3654,237510.0
S00142,2024-01-27,East,Biased,17,128.0,4555,583040.0
S00143,2024-05-16,North,Biased,15,138.0,4757,656466.0
S00144,2024-01-15,South,Biased,15,146.0,5430,792780.0
S00145,2024-03-30,South,Radial,16,63.0,3988,251244.0
S00146,2024-02-11,East,Radial,15,137.0,5285,724045.0
S00147,2024-05-03,South,Radial,17,124.0,5093,631532.0
S00148,2024-06-27,West,Radial,16,52.0,4856,252512.0
S00149,2024-03-03,North,Biased,17,122.0,5198,634156.0
S00150,2024-04-05,East,Radial,17,119.0,4540,540260.0
S00151,2024-02-21,East,Radial,16,80.0,4937,394960.0
S00152,05/04/2024,South,Radial,18,129.0,5289,682281.0
S00153,11/05/2024,West,Biased,15,124.0,5181,642444.0
S00154,2024-05-30,South,Radial,14,66.0,5264,347424.0
S00155,2024-05-22,South,BIASED,14,98.0,3739,366422.0
S00156,2024-06-19,East,Biased,14,52.0,4809,250068.0
S00157,2024-01-29,South,Radial,15,132.0,3845,507540.0
S00158,2024-02-05,North,Radial,18,137.0,4898,671026.0
S00159,2024-01-13,South,Radial,17,104.0,3515,365560.0
S00160,2024-06-08,South,Radial,16,121.0,4086,494406.0
S00161,2024-03-11,East,Biased,18,149.0,4449,662901.0
S00162,2024-07-05,South,Biased,14,89.0,3759,334551.0
S00163,2024-03-26,West,Biased,15,115.0,5418,623070.0
S00164,2024-01-28,East,Biased,15,136.0,3860,524960.0
S00165,2024-03-06,South,Biased,16,89.0,4922,438058.0
S00166,2024-06-18,North,Biased,17,79.0,3959,312761.0
S00167,2024-02-14,North,Biased,18,74.0,5446,403004.0
S00168,2024-03-02,Eest,Biased,18,56.0,5039,282184.0
S00169,2024-07-03,East,Biased,18,141.0,4430,624630.0
S00170,2024-05-13,South,Biased,17,99.0,5286,523314.0
S00171,2024-01-28,West,Radial,17,130.0,4608,599040.0
S00172,2024-01-28,South,Radial,17,145.0,4586,664970.0
S00173,2024-04-17,North,Radial,16,,3599,179950.0
S00174,2024-02-13,West,Biased,15,140.0,5357,749980.0
S00175,2024-03-24,West,Radial,14,93.0,4254,395622.0
S00176,2024-01-30,West,Biased,17,149.0,3794,565306.0
S00177,2024-07-08,South,Biased,15,98.0,5447,
S00178,2024-03-15,North,Radial,17,56.0,4685,262360.0
S00179,2024-05-07,East,Biased,14,52.0,4428,230256.0
S00180,2024-04-01,South,Radial,17,143.0,4701,672243.0
S00181,08/07/2024,East,Biased,15,50.0,4967,248350.0
S00182,2024-05-08,West,Biased,16,,3827,382700.0
S00183,2024-04-30,West,Radial,14,147.0,4851,713097.0
S00184,2024-01-27,South,Radial,15,87.0,4263,370881.0
S00185,2024-07-08,North,Radial,18,92.0,4565,419980.0
S00186,2024-04-30,West,Radial,18,104.0,3741,389064.0
S00187,2024-04-25,East,Radial,18,not available,4865,515690.0
S00188,2024-01-03,East,Radial,16,102.0,4614,470628.0
S00189,2024-04-12,South,Biased,17,149.0,4551,678099.0
S00190,2024-07-16,,Biased,17,82.0,3958,324556.0
S00191,2024-07-18,North,Biased,17,129.0,4166,537414.0
S00192,2024-06-03,West,Biased,16,111.0,5154,572094.0
S00193,2024-05-16,East,Radial,18,60.0,4908,294480.0
S00194,2024-03-02,East,Biased,17,121.0,5010,606210.0
S00195,2024-06-13,West,Biased,16,101.0,3719,375619.0
S00196,20/02/2024,South,Radial,16,50.0,4358,217900.0
S00197,2024-06-20,East,Biased,15,63.0,3763,237069.0
S00198,2024-05-31,South,Radial,17,143.0,3620,517660.0
S00199,2024-02-28,South,Radial,18,134.0,4569,612246.0
S00200,2024-04-27,East,Radial,14,70.0,4803,336210.0
S00201,2024-06-08,,Biased,16,83.0,4638,384954.0
S00202,2024-04-05,South,Radial,15,139.0,4691,652049.0
S00203,2024-06-28,East,Biased,14,63.0,3934,247842.0
S00204,2024-04-22,South,Biased,16,89.0,4769,424441.0
S00205,2024-03-02,West,Biased,15,84.0,3983,334572.0
S00206,2024-07-04,North,Radial,17,91.0,4898,445718.0
S00207,21/02/2024,North,Radial,15,131.0,3779,495049.0
S00208,2024-01-12,West,Radial,16,69.0,5269,363561.0
S00209,2024-02-08,West,Biased,17,109.0,4545,495405.0
S00210,2024-05-09,South,Biased,18,58.0,4213,244354.0
S00211,2024-05-10,West,Radial,15,82.0,3567,292494.0
S00212,2024-04-22,North,Biased,14,98.0,5171,506758.0
S00213,2024-04-10,West,Radial,17,117.0,4242,496314.0
S00214,2024-04-22,East,Radial,17,53.0,4581,242793.0
S00215,2024-07-02,East,Biased,18,97.0,5050,489850.0
S00216,2024-03-21,South,Biased,15,65.0,4787,311155.0
S00217,2024-07-05,North,Radial,14,96.0,5205,499680.0
S00218,2024-04-22,East,Biased,18,75.0,4946,370950.0
S00219,2024-01-02,West,Radial,15,119.0,4521,537999.0
S00220,2024-05-09,East,Radial,14,86.0,5022,431892.0
S00221,2024-02-23,East,BIASED,14,71.0,3790,269090.0
S00222,2024-03-27,South,Radial,16,56.0,3668,205408.0
S00223,2024-05-08,West,Biased,14,91.0,5083,462553.0
S00224,2024-05-26,West,Radial,15,79.0,4985,393815.0
S00225,2024-05-05,West,Biased,18,123.0,5131,631113.0
S00226,09/05/2024,South,Biased,18,128.0,5362,686336.0
S00227,2024-02-22,West,Radial,16,55.0,4055,223025.0
S00228,2024-06-20,West,Biased,15,73.0,3852,281196.0
S00229,2024-06-08,East,Biased,14,115.0,4763,547745.0
S00230,2024-07-16,East,Radial,16,89.0,5326,474014.0
S00231,2024-06-08,West,Biased,17,64.0,3782,242048.0
S00232,2024-03-08,North,RADIAL,15,102.0,4972,507144.0
S00233,2024-07-01,North,Biased,16,134.0,5105,684070.0
S00234,2024-07-02,West,Radial,18,not available,5288,692728.0
S00235,2024-05-02,North,Radial,16,54.0,4589,247806.0
S00236,2024-05-24,South,Radial,17,138.0,4850,669300.0
S00237,2024-02-07,East,Radial,15,85.0,3955,336175.0
S00238,2024-01-24,South,Biased,16,123.0,4458,548334.0
S00239,09/03/2024,East,Radial,14,95.0,4504,
S00240,2024-04-25,North,Biased,15,72.0,3976,286272.0
S00241,2024-04-07,Nort,Radial,16,137.0,5371,735827.0
S00242,2024-07-16,West,Biased,16,94.0,3784,355696.0
S00243,2024-05-18,North,Radial,15,59.0,3530,208270.0
S00244,2024-05-23,North,Biased,18,103.0,3947,406541.0
S00245,2024-04-06,West,Biased,14,119.0,3713,441847.0
S00246,2024-05-03,West,Radial,15,126.0,5216,657216.0
S00247,2024-07-05,East,Radial,14,134.0,5237,701758.0
S00248,2024-03-10,North,Radial,14,81.0,5103,413343.0
S00249,2024-04-02,East,BIASED,15,92.0,4548,418416.0
S00250,2024-01-03,East,Biased,16,64.0,5283,338112.0
S00251,2024-05-27,South,Biased,18,115.0,4896,563040.0
S00252,2024-07-05,North,Biased,14,64.0,3896,249344.0
S00253,2024-06-12,Nort,Radial,14,130.0,3836,498680.0
S00254,2024-05-26,,Radial,16,,4435,306015.0
S00255,30/03/2024,East,Radial,15,99.0,4467,442233.0
S00256,2024-07-13,North,Radial,18,55.0,4354,239470.0
S00257,2024-05-26,East,Biased,14,,4402,563456.0
S00258,2024-05-27,South,Biased,14,66.0,4171,275286.0
S00259,2024-04-05,West,Radial,15,75.0,4803,360225.0
S00260,2024-07-17,East,Biased,16,71.0,4268,303028.0
S00261,2024-02-21,North,Radial,17,122.0,4122,502884.0
S00262,2024-06-09,West,Biased,16,,4058,458554.0
S00263,2024-06-16,East,Biased,14,125.0,5214,
S00264,2024-05-07,East,Biased,14,135.0,4047,546345.0
S00265,2024-02-08,Wst,Biased,18,107.0,4422,473154.0
S00266,2024-03-22,West,Biased,16,136.0,4721,642056.0
S00267,2024-04-13,West,Biased,17,86.0,4053,348558.0
S00268,2024-05-08,North,Radial,18,127.0,3978,505206.0
S00269,2024-01-11,North,Biased,17,137.0,4343,594991.0
S00270,2024-07-03,East,Radial,18,121.0,5125,620125.0
S00271,2024-06-26,East,Radial,16,139.0,5380,747820.0
S00272,2024-05-30,South,Radial,14,145.0,5103,739935.0
S00273,2024-06-07,Nort,Radial,17,77.0,3569,274813.0
S00274,2024-02-11,East,Radial,16,,4004,580580.0
S00275,2024-04-08,West,Radial,17,not available,3609,487215.0
S00276,2024-01-07,West,Biased,16,98.0,4905,480690.0
S00277,2024-05-23,North,Biased,18,122.0,3896,475312.0
S00278,2024-03-30,West,Biased,16,,4932,572112.0
S00279,21/04/2024,South,Radial,18,138.0,3850,531300.0
S00280,2024-02-29,East,Radial,14,125.0,5057,632125.0
S00281,2024-04-22,East,Radial,18,,5024,713408.0
S00282,2024-01-02,East,Biased,15,116.0,4494,521304.0
S00283,2024-05-08,North,Biased,14,90.0,4288,385920.0
S00284,2024-02-17,West,Biased,16,95.0,5434,516230.0
S00285,2024-05-19,South,Radial,16,136.0,5230,711280.0
S00286,2024-07-15,North,Radial,15,136.0,3920,533120.0
S00287,2024-02-06,East,Radial,16,104.0,5080,528320.0
S00288,2024-06-08,South,Biased,14,131.0,4421,579151.0
S00289,2024-01-09,East,Radial,14,60.0,3610,216600.0
S00290,08/04/2024,East,Radial,18,149.0,3708,552492.0
S00291,2024-05-26,Nort,Radial,17,75.0,5265,394875.0
S00292,17/02/2024,East,Radial,16,121.0,4962,600402.0
S00293,2024-05-10,South,Biased,15,141.0,4701,662841.0
S00294,2024-05-27,,Biased,14,131.0,4430,580330.0
S00295,2024-05-31,West,Radial,14,62.0,5285,327670.0
S00296,2024-02-23,East,Radial,14,85.0,3924,333540.0
S00297,2024-04-29,North,Biased,17,113.0,3827,432451.0
S00298,2024-06-09,South,Biased,17,not available,5407,540700.0
S00299,2024-05-31,North,Radial,16,125.0,3510,438750.0
S00300,2024-04-25,West,Biased,15,71.0,4775,339025.0
S00301,2024-03-15,East,Biased,17,109.0,4355,474695.0
S00302,2024-04-22,North,Radial,18,51.0,4758,242658.0
S00303,2024-07-18,North,Biased,17,105.0,5171,542955.0
S00304,2024-06-12,North,Biased,14,89.0,3753,334017.0
S00305,2024-06-14,Nort,Biased,15,77.0,5089,391853.0
S00306,2024-04-13,West,Biased,16,126.0,5001,630126.0
S00307,2024-03-24,West,Radial,17,146.0,3628,529688.0
S00308,2024-04-21,East,Biased,14,52.0,5261,273572.0
S00309,08/04/2024,East,Biased,18,112.0,5055,566160.0
S00310,2024-06-01,South,Radial,18,147.0,3599,529053.0
S00311,2024-04-02,West,Biased,16,72.0,3789,272808.0
S00312,2024-05-25,North,Radial,16,104.0,5092,529568.0
S00313,2024-05-07,North,Radial,17,81.0,4749,384669.0
S00314,2024-04-19,South,Biased,16,133.0,5176,688408.0
S00315,2024-03-22,North,BIASED,14,77.0,4648,357896.0
S00316,2024-07-12,,Biased,14,57.0,4961,282777.0
S00317,2024-02-23,East,Biased,14,52.0,5344,277888.0
S00318,2024-06-11,West,Biased,17,143.0,5087,727441.0
S00319,2024-07-07,South,Radial,17,138.0,4145,572010.0
S00320,2024-06-17,North,Biased,16,102.0,5327,543354.0
S00321,2024-06-09,South,Radial,17,143.0,4164,595452.0
S00322,2024-03-08,East,Biased,14,78.0,4870,379860.0
S00323,2024-02-02,North,Radial,15,,4197,600171.0
S00324,2024-05-21,East,Biased,14,147.0,5274,775278.0
S00325,2024-01-21,East,Biased,15,138.0,3682,508116.0
S00326,2024-02-17,South,Biased,16,130.0,3850,500500.0
S00327,2024-05-27,East,Biased,18,108.0,5038,544104.0
S00328,2024-05-07,North,Biased,17,73.0,5319,388287.0
S00329,2024-05-15,East,Radial,17,87.0,4901,426387.0
S00330,2024-05-14,East,Biased,14,77.0,4207,323939.0
S00331,2024-07-13,South,Biased,14,146.0,4988,728248.0
S00332,2024-05-24,East,Biased,15,111.0,4177,463647.0
S00333,2024-05-07,West,Radial,17,149.0,4301,640849.0
S00334,02/02/2024,South,Biased,16,100.0,3839,383900.0
S00335,2024-06-24,South,Radial,14,56.0,4664,261184.0
S00336,2024-07-05,North,Biased,17,72.0,3610,259920.0
S00337,2024-04-24,North,Radial,18,95.0,3760,357200.0
S00338,2024-04-28,North,Biased,15,139.0,5419,753241.0
S00339,2024-01-22,North,Biased,14,127.0,4711,598297.0
S00340,2024-06-06,West,Radial,14,77.0,5379,414183.0
S00341,2024-02-07,South,Biased,16,73.0,3870,
S00342,18/04/2024,East,Radial,14,56.0,4881,273336.0
S00343,2024-02-20,North,Biased,17,149.0,4796,714604.0
S00344,2024-06-30,North,Biased,17,128.0,5220,668160.0
S00345,2024-01-08,North,Radial,17,98.0,5322,521556.0
S00346,2024-01-27,East,Biased,18,52.0,4103,213356.0
S00347,2024-01-27,North,Radial,18,51.0,3948,201348.0
S00348,21/01/2024,,Radial,14,56.0,5229,292824.0
S00349,2024-01-30,South,Biased,18,129.0,4940,637260.0
S00350,2024-04-06,South,Biased,18,70.0,5395,377650.0
S00351,2024-01-28,South,Biased,16,58.0,4360,252880.0
S00352,2024-04-20,West,Radial,18,61.0,4911,299571.0
S00353,2024-07-10,East,Radial,15,142.0,4861,690262.0
S00354,2024-07-15,North,Biased,15,73.0,4834,352882.0
S00355,2024-03-01,North,Radial,15,82.0,5443,446326.0
S00356,2024-02-17,North,Radial,14,127.0,5451,692277.0
S00357,2024-05-26,North,Radial,17,92.0,4852,446384.0
S00358,2024-01-04,West,RADIAL,16,131.0,4570,598670.0
S00359,2024-02-04,North,Biased,14,54.0,4155,224370.0
S00360,2024-07-10,West,Biased,17,128.0,3648,466944.0
S00361,2024-02-18,East,Biased,16,120.0,3849,461880.0
S00362,2024-01-17,South,Radial,16,138.0,3822,527436.0
S00363,2024-06-20,North,Radial,16,63.0,4364,274932.0
S00364,2024-06-06,South,Radial,15,85.0,5450,463250.0
S00365,2024-02-15,East,Radial,15,84.0,4643,390012.0
S00366,2024-04-26,East,Biased,15,99.0,4504,445896.0
S00367,2024-01-06,North,Radial,16,137.0,3897,533889.0
S00368,2024-04-08,East,Radial,16,128.0,4145,530560.0
S00369,2024-05-03,South,Biased,15,60.0,4720,283200.0
S00370,2024-02-06,North,Biased,16,73.0,3912,285576.0
S00371,2024-01-24,West,Biased,15,124.0,4962,615288.0
S00372,2024-04-02,North,Radial,15,not available,3536,328848.0
S00373,2024-02-15,South,Radial,15,100.0,3686,368600.0
S00374,2024-06-29,North,Radial,17,66.0,3919,258654.0
S00375,2024-04-04,North,Radial,16,119.0,4224,502656.0
S00376,2024-04-08,South,Radial,14,134.0,4983,667722.0
S00377,2024-07-06,Nort,Radial,15,57.0,4633,264081.0
S00378,2024-04-25,Nort,Biased,14,128.0,3686,471808.0
S00379,2024-07-09,South,Radial,17,145.0,3970,575650.0
S00380,2024-06-08,,Biased,16,123.0,4601,565923.0
S00381,2024-06-09,South,Biased,15,77.0,5483,422191.0
S00382,2024-03-07,North,Biased,15,128.0,5462,699136.0
S00383,2024-05-07,,Radial,15,61.0,4897,298717.0
S00384,2024-01-18,West,Radial,14,92.0,4309,396428.0
S00385,2024-01-25,South,Biased,17,131.0,3829,501599.0
S00386,2024-02-23,West,Radial,16,86.0,4648,399728.0
S00387,2024-02-27,North,Radial,17,137.0,4839,662943.0
S00388,2024-03-07,North,Biased,15,112.0,4457,499184.0
S00389,2024-04-13,South,Radial,17,142.0,3819,542298.0
S00390,2024-06-22,North,Radial,14,112.0,3974,445088.0
S00391,2024-01-24,East,Radial,18,59.0,5012,295708.0
S00392,2024-04-23,North,Radial,18,127.0,4325,549275.0
S00393,2024-02-01,South,Biased,16,129.0,4013,517677.0
S00394,2024-06-23,Eest,Biased,16,86.0,3833,329638.0
S00395,2024-03-26,East,Radial,17,60.0,4594,275640.0
S00396,2024-05-30,West,Radial,16,139.0,3964,550996.0
S00397,2024-07-12,North,Radial,14,68.0,4899,333132.0
S00398,2024-05-06,South,Biased,15,101.0,4223,426523.0
S00399,2024-06-03,West,Radial,15,not available,3507,234969.0
S00400,09/05/2024,West,Radial,17,143.0,5219,746317.0
S00401,2024-01-17,North,Biased,15,81.0,3663,296703.0
S00402,2024-04-13,North,Radial,17,72.0,5488,395136.0
S00403,09/06/2024,South,Biased,16,61.0,4280,261080.0
S00404,2024-05-16,West,Radial,16,107.0,4818,515526.0
S00405,2024-02-12,South,Biased,14,126.0,3857,485982.0
S00406,2024-06-24,West,Radial,15,70.0,3580,250600.0
S00407,2024-02-08,West,Radial,14,70.0,4273,299110.0
S00408,2024-06-18,West,Biased,18,142.0,4798,681316.0
S00409,2024-01-26,North,Biased,14,not available,4420,627640.0
S00410,2024-04-08,West,Biased,17,140.0,4398,615720.0
S00411,2024-02-19,West,Biased,17,78.0,5140,400920.0
S00412,2024-06-01,West,Biased,14,not available,5344,684032.0
S00413,2024-05-31,East,Radial,16,96.0,5063,486048.0
S00414,2024-01-13,North,Biased,18,61.0,4421,269681.0
S00415,2024-02-29,East,Biased,14,107.0,4570,488990.0
S00416,2024-05-14,North,Biased,16,90.0,4915,442350.0
S00417,2024-02-26,South,Biased,14,68.0,4324,294032.0
S00418,2024-02-05,East,Radial,15,61.0,5090,310490.0
S00419,2024-06-21,South,Radial,17,72.0,4517,325224.0
S00420,2024-01-20,West,Radial,15,54.0,4602,248508.0
S00421,2024-03-05,South,Radial,15,75.0,5036,377700.0
S00422,2024-01-08,South,Radial,18,112.0,4179,468048.0
S00423,2024-05-23,South,Biased,16,101.0,4546,459146.0
S00424,2024-05-21,South,Radial,17,59.0,4751,280309.0
S00425,2024-04-24,North,Radial,15,135.0,3937,531495.0
S00426,2024-05-22,East,Biased,17,88.0,4821,424248.0
S00427,2024-04-01,North,Biased,16,72.0,5499,395928.0
S00428,2024-04-07,North,Radial,14,60.0,4445,266700.0
S00429,2024-03-06,North,Radial,15,141.0,4783,674403.0
S00430,2024-02-01,South,Biased,16,144.0,4275,615600.0
S00431,2024-07-09,North,Radial,17,121.0,4175,505175.0
S00432,2024-03-26,East,Biased,16,97.0,3509,340373.0
S00433,2024-02-20,North,Biased,14,141.0,5151,726291.0
S00434,2024-06-01,West,Radial,16,65.0,3657,237705.0
S00435,2024-07-04,South,Radial,17,95.0,4367,414865.0
S00436,2024-03-03,West,Radial,15,96.0,4283,411168.0
S00437,2024-07-08,East,Biased,15,144.0,4681,674064.0
S00438,2024-05-04,East,Biased,18,97.0,3819,370443.0
S00439,2024-05-29,East,Radial,17,129.0,5399,696471.0
S00440,2024-02-27,East,Radial,18,118.0,4725,557550.0
S00441,2024-02-27,North,Radial,18,148.0,3620,535760.0
S00442,2024-03-26,South,Biased,14,74.0,3638,269212.0
S00443,18/02/2024,East,Biased,17,126.0,4173,525798.0
S00444,2024-06-28,West,Biased,15,142.0,5243,744506.0
S00445,2024-06-18,East,Radial,17,140.0,5090,712600.0
S00446,2024-03-10,South,Biased,14,130.0,4862,632060.0
S00447,2024-01-15,West,Biased,17,86.0,4783,411338.0
S00448,2024-02-23,West,Radial,17,112.0,4956,555072.0
S00449,2024-07-06,West,Biased,18,78.0,3543,276354.0
S00450,2024-04-10,North,Radial,17,107.0,4682,500974.0
